Results for P=100, my=30

Generation	Max		Min		Mean
1		38587.332	31741.271	35978.906
2		39064.613	34083.6	37322.477
3		40206.383	34463.727	37773.34
4		40206.383	35455.83	38397.164
5		40206.383	34441.023	38285.63
6		40220.133	34541.06	38436.24
7		41049.68	35209.695	38776.574
8		41049.68	34425.21	38702.926
9		41049.68	35202.89	38984.22
10		41049.68	35576.527	38964.34
11		41049.68	35432.863	39102.266
12		41049.68	36006.09	39194.477
13		41236.992	35703.707	39295.344
14		41653.445	34007.48	39473.273
15		41951.336	35905.03	39322.152
16		41951.336	34672.254	39416.336
17		41951.336	34918.254	39425.08
18		41951.336	36355.438	39713.8
19		41951.336	35429.37	39460.363
20		41951.336	36154.523	39525.043
21		41951.336	35238.65	39615.11
22		41951.336	35865.45	39846.41
23		41951.336	34802.824	39667.49
24		41951.336	36121.043	39655.38
25		41951.336	34367.727	39632.61
26		41951.336	35721.883	39615.01
27		41951.336	35956.76	39627.05
28		41951.336	35616.117	39883.094
29		41951.336	36308.117	39913.77
30		41951.336	35605.035	39740.844
31		41951.336	36577.72	39981.46
32		41951.336	35396.402	39918.36
33		41951.336	36011.934	39968.812
34		41951.336	36287.54	39771.51
35		41951.336	36344.58	40042.12
36		41951.336	36198.164	40098.902
37		43029.402	36342.277	40128.113
